criterio_o_observacion_S2,respuesta_implementada_en_S3,evidencia_computacional,verificacion,cumple,estado
Bootstrap: incorporar un parámetro con asimetría marcada,"Se analiza la media de Rainfall mediante 10.000 remuestras y se comparan los intervalos clásico, percentil y BCa.",02a_bootstrap_Rainfall_asimetria.csv; fig_00a_bootstrap_media_Rainfall.png,"n_boot=10000; asimetría=9.8362; IC_BCa=[2.3177, 2.4049]",True,Cumplido
Permutación: conservar la relación validada y la distinción respecto de chi-cuadrado,La prueba de permutación se incorpora como antecedente inferencial validado para Humidity3pm y el chi-cuadrado se conserva como evidencia categórica complementaria para RainToday_bin.,01_trazabilidad_S1_S2_hacia_S3.csv; 13c_trazabilidad_variables_candidatas_S1_S2.csv,Antecedentes de S2 cargados y vinculados con decisiones de modelamiento.,True,Cumplido
"Correlaciones: recalcular los pares 0,96 y 0,86 sobre la base completa","Se recalculan los pares Pressure9am–Pressure3pm y Temp9am–Temp3pm, se registra el número de casos válidos y se actualiza la delimitación de predictoras antes de la selección automática.",02g_recalculo_multicolinealidad_base_completa.csv; 13e_delimitacion_predictoras_modelos_logisticos.csv,Pressure=0.9613; Temperatura=0.8606,True,Cumplido
Monte Carlo: incorporar al notebook maestro la sensibilidad de nueve escenarios,"Se regenera el escenario base y ocho perturbaciones relativas con 100.000 iteraciones, semilla fija, números aleatorios comunes y control de convergencia.",02b_sensibilidad_montecarlo_regenerada.csv; 02d_convergencia_montecarlo_regenerada.csv,n_iteraciones=100000; n_escenarios=9,True,Cumplido
Monte Carlo: complementar el delta individual con un estimador agregado,"Se incorporan tasas operacionales, resultados esperados por cada 1.000 observaciones y distribuciones empíricas de VPP y sensibilidad en carteras de tamaño 1.000.",02b_sensibilidad_montecarlo_regenerada.csv,n_carteras=10000; tamaño_cartera=1000; VPP_base=0.4565,True,Cumplido
Robustez: regenerar el diagnóstico IQR citado en el informe,El diagnóstico IQR se reproduce desde la base original por grupo de RainTomorrow y se contrasta con la evidencia heredada de S2.,02e_diagnostico_outliers_IQR_regenerado.csv; 02f_consistencia_diagnostico_IQR_S2_S3.csv,eliminados_total=219,True,Cumplido
Modelamiento: priorizar Humidity3pm con fundamento en S1 y S2,"Humidity3pm se incluye en el modelo basado en S1/S2, en el universo de selección y en la especificación definitiva, con evaluación de no linealidad.",13c_trazabilidad_variables_candidatas_S1_S2.csv; 16_variables_tres_modelos.csv; 27d_decision_especificacion_definitiva.csv,Predictor incorporado desde la formulación inicial hasta el modelo definitivo.,True,Cumplido
Modelamiento: incorporar RainToday_bin por su asociación categórica,"RainToday_bin se incorpora al modelo S1/S2 y al universo candidato; su permanencia final se decide mediante BIC y VIF, sin imponerla contra la evidencia multivariable.",13c_trazabilidad_variables_candidatas_S1_S2.csv; 16_variables_tres_modelos.csv; 27d_decision_especificacion_definitiva.csv,Variable evaluada explícitamente; decisión definitiva documentada en la especificación sin_RainToday_bin.,True,Cumplido
Modelamiento: controlar redundancia mediante selección y VIF,Los pares altamente correlacionados se excluyen del universo automático y la especificación definitiva se confirma mediante VIF calculado exclusivamente con entrenamiento.,13e_delimitacion_predictoras_modelos_logisticos.csv; 27b_resolucion_multicolinealidad_modelo_final.csv; 27c_VIF_especificacion_definitiva.csv,VIF_máximo_final=4.7897,True,Cumplido
Desbalance: comparar ponderación de clase y no depender de accuracy,"Se comparan configuraciones ponderadas y no ponderadas con umbrales fijos y optimizados, utilizando balanced accuracy, precision, recall, F1, ROC-AUC, PR-AUC y Brier.",20b_comparacion_inferencia_y_prediccion_balanceada.csv; 23b_seleccion_configuracion_predictiva_OOF.csv; 26d_calibracion_configuraciones_predictivas.csv,configuraciones_OOF=4; seleccionadas=1,True,Cumplido
Umbral: usar la sensibilidad previa como puente hacia el punto de operación,El umbral probabilístico se selecciona mediante predicciones OOF y se distingue expresamente del umbral meteorológico Humidity3pm ≥ 60 % utilizado en la simulación de S2.,02b_sensibilidad_montecarlo_regenerada.csv; 23_sensibilidad_umbral_out_of_fold.csv; 23b_seleccion_configuracion_predictiva_OOF.csv,umbral_probabilístico_seleccionado=0.6000,True,Cumplido
Robustez: controlar Location y la dependencia espacial o temporal,"Se incorporan errores robustos agrupados por Location, sensibilidad con variables indicadoras de localidad y una validación temporal sobre el tramo más reciente del entrenamiento.",27f_sensibilidad_errores_robustos_cluster_Location.csv; 40b_sensibilidad_validacion_temporal.csv; 41b_interpretacion_sensibilidad_Location.csv,cambios_inferenciales_cluster=2; filas_sensibilidad_temporal=1,True,Cumplido
"Documentación: cerrar la trazabilidad entre comentario, código y archivo generado","Se generan controles específicos para cada observación, una matriz exhaustiva de respuesta, un control metodológico y un manifiesto de integridad con SHA-256.",02h_control_cierre_retroalimentacion_S2.csv; 43a_matriz_respuesta_retroalimentacion_S2.csv; 43_control_metodologico_rubrica.csv; 44_control_integridad_salidas_sumativa3.csv,La ejecución se detiene si alguna observación o evidencia obligatoria queda incumplida.,True,Cumplido
